file	block_index	offset_hex	continuation	rule_count	payload_size	unpacked_size	unpacked_sha256
SPIT/M01.PAC	1	0xA76	1	30	1874	2880	ae62e036d804424ef9aed8cf38f82414891493112264cb99f6f40e566c943dbd
SPIT/M01.PAC	2	0x1226	1	24	2916	4320	4ec8b30dc1f846685f6cf9d217533b92cf2b2e0eaffd760cf87a80c81bcdf993
SPIT/M01.PAC	3	0x1DD6	0	30	2827	4320	e629e9cb98620003deba6a8b13a69668d1b9128e2ea7f6ce9cf6a2a60e27d726
SPIT/M02.PAC	0	0x0	1	29	2687	3840	26549e0f8dc81cfe7148d56988d6b98745f514fdd1f89127eeb76a5daf54768b
SPIT/M02.PAC	1	0xADA	1	42	1896	2880	603814ecd35ef718d3669c5529fcc5cdb868db8cae6c6357cb51d3cbd10c2393
SPIT/M02.PAC	2	0x12C4	1	25	3068	4320	7d10bdef93d89fd4ec8369102409108b0b580fe58e1ac89bda2fc9b145658356
SPIT/M02.PAC	3	0x1F0F	0	35	2883	4320	2ace75daeadbb99c9520a43942fa57cec820beb7ccbcfde9dc9ba23c5068f639
SPIT/M03.PAC	0	0x0	1	34	2095	3840	45ec1f2a9123ea45fc6ef2b97fa0fd48ea9ea5802751e8bbd8ad3ce5f6148c6d
SPIT/M03.PAC	1	0x899	1	45	1470	2880	a0e2c2f8f02f54aaf4a0c2f36e0cf4016b8803e1cd396a3faaebf2d269025c0b
SPIT/M03.PAC	2	0xEE2	1	44	2176	4320	2e0fc99ae46fd670ead05be4845a2da15d2f0fcf1345d879976533385cec3371
SPIT/M03.PAC	3	0x17EA	0	61	2131	4320	9fd26d1a1747434c64406e64eb0222b183470bb1f07597c6b1c9a859c8963946
SPIT/M04.PAC	0	0x0	1	25	2479	3840	757f12e56e03baf7f8f6b7045ce25b277f121a41f24cd589e168437a65205f37
SPIT/M04.PAC	1	0x9FE	1	30	1796	2880	757980e17265db02819945a58dfcb92188f4b8bfdb8bf22f71c9d6c5d8f472d3
SPIT/M04.PAC	2	0x1160	1	38	1286	2160	38006803eb2df3c1758b79555d87001eed206fcb365518425352894a8b4030c7
